pickup_name,pickup_city,pickup_state,pickup_zip,dest_name,dest_city,dest_state,dest_zip,miles,price_usd,vehicle_class
IAAI Miami-North,Southwest Ranches,FL,33332,TRT International,Rincon,GA,31326,487,325,standard
Copart Dallas,Grand Prairie,TX,75051,TRT International - Argus Motors,La Porte,TX,77571,272,220,standard
Copart Savannah,Savannah,GA,31405,TRT International,Rincon,GA,31326,23,100,standard
IAAI LI Rice Court,Medford,NY,11763,Lube Avto Shipping (Apex),Irvington,NJ,07111,80,175,standard
Copart Earlington,Earlington,KY,42410,TRT International,Rincon,GA,31326,589,400,standard
Copart American Canyon,American Canyon,CA,94503,TRT International - PACLOGISTIC,Gardena,CA,90248,411,350,standard
ADESA Colorado Springs,Fountain,CO,80817,TRT International - Argus Motors,La Porte,TX,77571,968,500,standard
Manheim Fredericksburg,Fredericksburg,VA,22406,Lube Avto Shipping (Apex),Irvington,NJ,07111,271,300,standard
Copart Hurricane,Hurricane,WV,25526,TRT International,Rincon,GA,31326,539,550,standard
Copart Sacramento,Sacramento,CA,95828,TRT International - PACLOGISTIC,Gardena,CA,90248,394,350,standard
IAAI Oklahoma City,Oklahoma City,OK,73121,TRT International - Argus Motors,La Porte,TX,77571,472,350,standard
IAAI Albuquerque,Albuquerque,NM,87105,TRT International - Argus Motors,La Porte,TX,77571,925,600,standard
IAAI Fontana,Fontana,CA,92335,TRT International - PACLOGISTIC,Gardena,CA,90248,59,175,standard
IAAI Indianapolis,Indianapolis,IN,46217,Lube Avto Shipping (Apex),Irvington,NJ,07111,704,520,standard
IAAI Gulf Coast,Moss Point,MS,39562,TRT International,Rincon,GA,31326,541,375,standard
Copart Fresno,Fresno,CA,93725,TRT International - PACLOGISTIC,Gardena,CA,90248,227,225,standard
Copart Tucson,Tucson,AZ,85706,TRT International - PACLOGISTIC,Gardena,CA,90248,496,300,standard
Manheim Fort Lauderdale,Davie,FL,33314,TRT International,Rincon,GA,31326,471,450,standard
Copart Pennsburg,Pennsburg,PA,18073,Lube Avto Shipping (Apex),Irvington,NJ,07111,87,200,standard
Manheim Northstar,Shakopee,MN,55379,Lube Avto Shipping (Apex),Irvington,NJ,07111,1217,600,standard
Copart Angola,Angola,NY,14006,Lube Avto Shipping (Apex),Irvington,NJ,07111,379,500,standard
Copart Las Vegas,Las Vegas,NV,89165,TRT International - PACLOGISTIC,Gardena,CA,90248,274,325,standard
Copart Austell,Austell,GA,30168,TRT International,Rincon,GA,31326,253,275,standard
Copart Bakersfield,Bakersfield,CA,93307,TRT International - PACLOGISTIC,Gardena,CA,90248,116,225,standard
Copart Marlboro,Marlboro,NY,12542,Lube Avto Shipping (Apex),Irvington,NJ,07111,74,200,standard
Copart St Louis,Bridgeton,MO,63044,TRT International,Rincon,GA,31326,813,500,standard
IAAI Kansas City,Kansas City,KS,66111,TRT International,Rincon,GA,31326,1057,550,standard
IAAI Jacksonville Pecan Park,Jacksonville,FL,32218,TRT International,Rincon,GA,31326,138,250,standard
IAAI Omaha,Springfield,NE,68059,TRT International - Argus Motors,La Porte,TX,77571,921,675,standard
Copart San Diego,San Diego,CA,92154,TRT International - PACLOGISTIC,Gardena,CA,90248,137,205,standard
Copart San Diego,San Diego,CA,92154,TRT International - PACLOGISTIC,Gardena,CA,90248,137,200,standard
Copart Fresno,Fresno,CA,93725,TRT International - PACLOGISTIC,Gardena,CA,90248,227,225,standard
IAAI McAllen,Donna,TX,78537,TRT International - Argus Motors,La Porte,TX,77571,375,505,standard
Copart West Warren,West Warren,MA,01092,Lube Avto Shipping (Apex),Irvington,NJ,07111,187,260,standard
Copart Elgin,Elgin,IL,60120,Lube Avto Shipping (Apex),Irvington,NJ,07111,821,500,standard
Copart Houston,Houston,TX,77073,TRT International - Argus Motors,La Porte,TX,77571,40,125,standard
Copart Newburgh,Newburgh,NY,12550,Lube Avto Shipping (Apex),Irvington,NJ,07111,66,175,standard
Copart Fredericksburg,Fredericksburg,VA,22408,Lube Avto Shipping (Apex),Irvington,NJ,07111,280,315,standard
IAAI Miami-North 2,Pembroke Pines,FL,33332,TRT International,Rincon,GA,31326,487,423,standard
IAAI Pensacola,Milton,FL,32583,TRT International,Rincon,GA,31326,473,350,standard
IAAI Houston North,Houston,TX,77032,TRT International - Argus Motors,La Porte,TX,77571,35,150,standard
IAAI Rochester,Bergen,NY,14416,Lube Avto Shipping (Apex),Irvington,NJ,07111,342,325,standard
IAAI Terminal Drive,Lorain,OH,44053,Lube Avto Shipping (Apex),Irvington,NJ,07111,473,470,standard
IAAI Little Rock,Scott,AR,72142,TRT International,Rincon,GA,31326,750,500,standard
IAAI LI East Yard,Medford,NY,11763,Lube Avto Shipping (Apex),Irvington,NJ,07111,80,200,standard
Copart Knightdale,Knightdale,NC,27545,TRT International,Rincon,GA,31326,328,275,standard
Copart Windham,Windham,ME,04062,Lube Avto Shipping (Apex),Irvington,NJ,07111,342,350,standard
Copart Chicago Heights,Chicago Heights,IL,60411,Lube Avto Shipping (Apex),Irvington,NJ,07111,770,550,standard
Copart Woodhaven,Woodhaven,MI,48183,Lube Avto Shipping (Apex),Irvington,NJ,07111,586,505,standard
IAAI Houston South,Rosharon,TX,77583,TRT International - Argus Motors,La Porte,TX,77571,48,150,standard
Copart Lebanon,Lebanon,TN,37090,TRT International,Rincon,GA,31326,486,330,standard
Copart Spanaway,Spanaway,WA,98387,TRT International - PACLOGISTIC,Gardena,CA,90248,1117,625,standard
Copart Littleton,Littleton,CO,80125,TRT International - Argus Motors,La Porte,TX,77571,1037,580,standard
Copart Finksburg,Finksburg,MD,21048,Lube Avto Shipping (Apex),Irvington,NJ,07111,199,250,standard
Copart Elgin,Elgin,IL,60120,Lube Avto Shipping (Apex),Irvington,NJ,07111,821,515,standard
Copart Opa Locka,Opa Locka,FL,33054,TRT International,Rincon,GA,31326,484,350,standard
IAAI LI Rice Court,Medford,NY,11763,Lube Avto Shipping (Apex),Irvington,NJ,07111,80,388,expedited
Copart Rancho Cucamonga,Rancho Cucamonga,CA,91739,TRT International - PACLOGISTIC,Gardena,CA,90248,59,170,standard
Copart Phoenix,Phoenix,AZ,85085,Cedars Express Intl,Compton,CA,90221,392,300,standard
Private seller,Miami,FL,33131,Private residence,Lexington,MA,02421,1492,975,standard
RT43 Auto Group,New Lebanon,NY,12125,Broadway Motoring,Ayer,MA,01432,140,335,standard
Private seller,Greenville,DE,19807,Private residence,Chatsworth,CA,91311,2717,1600,standard
Atlantic Hyundai,West Islip,NY,11795,Broadway Motoring,Ayer,MA,01432,230,330,standard
IAA Akron-Canton,New Philadelphia,OH,44663,Oak Tree Auto Body,Morganville,NJ,07751,452,525,standard
IAA Templeton,Templeton,MA,01468,Oak Tree Auto Body,Morganville,NJ,07751,233,300,standard
Broadway Motoring,Ayer,MA,01432,Broadway Motoring,Derry,NH,03038,47,140,standard
United Auto Sales of Utica,Yorkville,NY,13495,Broadway Motoring,Ayer,MA,01432,256,335,standard
